# Column	Sample Name	Timepoint
#DAY 1
SHAM_d01_rep1	SHAM	Day_1
SHAM_d01_rep2	SHAM	Day_1
SHAM_d01_rep3	SHAM	Day_1
SHAM_d01_rep4	SHAM	Day_1
SHAM_d01_rep5	SHAM	Day_1
SHAM_d01_rep6	SHAM	Day_1
SHAM_d01_rep7	SHAM	Day_1

PR80.6_d01_rep1	PR80.6	Day_1		
PR80.6_d01_rep2	PR80.6	Day_1
PR80.6_d01_rep3	PR80.6	Day_1
PR80.6_d01_rep4	PR80.6	Day_1
PR80.6_d01_rep5	PR80.6	Day_1
PR80.6_d01_rep6	PR80.6	Day_1
PR80.6_d01_rep7	PR80.6	Day_1

PR810_d01_rep1	PR810	Day_1
PR810_d01_rep2	PR810	Day_1
PR810_d01_rep3	PR810	Day_1
PR810_d01_rep4	PR810	Day_1
PR810_d01_rep5	PR810	Day_1
PR810_d01_rep6	PR810	Day_1
PR810_d01_rep7	PR810	Day_1

PR8100_d01_rep1	PR8100	Day_1	
PR8100_d01_rep2	PR8100	Day_1
PR8100_d01_rep3	PR8100	Day_1
PR8100_d01_rep4	PR8100	Day_1
PR8100_d01_rep5	PR8100	Day_1
PR8100_d01_rep6	PR8100	Day_1
PR8100_d01_rep7	PR8100	Day_1

TX91_d01_rep1	TX91	Day_1
TX91_d01_rep2	TX91	Day_1
TX91_d01_rep3	TX91	Day_1
TX91_d01_rep4	TX91	Day_1
TX91_d01_rep5	TX91	Day_1
TX91_d01_rep6	TX91	Day_1
TX91_d01_rep7	TX91	Day_1

SHAM_d02_rep1	SHAM	Day_2
SHAM_d02_rep2	SHAM	Day_2
SHAM_d02_rep3	SHAM	Day_2
SHAM_d02_rep4	SHAM	Day_2
SHAM_d02_rep5	SHAM	Day_2
SHAM_d02_rep6	SHAM	Day_2
SHAM_d02_rep7	SHAM	Day_2

PR810_d02_rep1	PR810	Day_2
PR810_d02_rep2	PR810	Day_2
PR810_d02_rep3	PR810	Day_2
PR810_d02_rep4	PR810	Day_2
PR810_d02_rep5	PR810	Day_2
PR810_d02_rep6	PR810	Day_2
PR810_d02_rep7	PR810	Day_2

PR8100_d02_rep1	PR8100	Day_2
PR8100_d02_rep2	PR8100	Day_2
PR8100_d02_rep3	PR8100	Day_2
PR8100_d02_rep4	PR8100	Day_2
PR8100_d02_rep5	PR8100	Day_2
PR8100_d02_rep6	PR8100	Day_2
PR8100_d02_rep7	PR8100	Day_2

TX91_d02_rep1	TX91	Day_2
TX91_d02_rep2	TX91	Day_2	
TX91_d02_rep3	TX91	Day_2
TX91_d02_rep4	TX91	Day_2
TX91_d02_rep5	TX91	Day_2
TX91_d02_rep6	TX91	Day_2
TX91_d02_rep7	TX91	Day_2

SHAM_d03_rep1	SHAM	Day_3
SHAM_d03_rep2	SHAM	Day_3
SHAM_d03_rep3	SHAM	Day_3
SHAM_d03_rep4	SHAM	Day_3
SHAM_d03_rep5	SHAM	Day_3
SHAM_d03_rep6	SHAM	Day_3
SHAM_d03_rep7	SHAM	Day_3

PR80.6_d03_rep1	PR80.6	Day_3	
PR80.6_d03_rep2	PR80.6	Day_3
PR80.6_d03_rep3	PR80.6	Day_3
PR80.6_d03_rep4	PR80.6	Day_3
PR80.6_d03_rep5	PR80.6	Day_3
PR80.6_d03_rep6	PR80.6	Day_3
PR80.6_d03_rep7	PR80.6	Day_3

PR810_d03_rep1	PR810	Day_3
PR810_d03_rep2	PR810	Day_3
PR810_d03_rep3	PR810	Day_3
PR810_d03_rep4	PR810	Day_3
PR810_d03_rep5	PR810	Day_3
PR810_d03_rep6	PR810	Day_3
PR810_d03_rep7	PR810	Day_3

PR8100_d03_rep1	PR8100	Day_3	
PR8100_d03_rep2	PR8100	Day_3
PR8100_d03_rep3	PR8100	Day_3
PR8100_d03_rep4	PR8100	Day_3
PR8100_d03_rep5	PR8100	Day_3
PR8100_d03_rep6	PR8100	Day_3
PR8100_d03_rep7	PR8100	Day_3

TX91_d03_rep1	TX91	Day_3
TX91_d03_rep2	TX91	Day_3
TX91_d03_rep3	TX91	Day_3
TX91_d03_rep4	TX91	Day_3
TX91_d03_rep5	TX91	Day_3
TX91_d03_rep6	TX91	Day_3
TX91_d03_rep7	TX91	Day_3

PR80.2_d03_rep1	PR80.2	Day_3
PR80.2_d03_rep2	PR80.2	Day_3
PR80.2_d03_rep3	PR80.2	Day_3
PR80.2_d03_rep4	PR80.2	Day_3
PR80.2_d03_rep5	PR80.2	Day_3
PR80.2_d03_rep6	PR80.2	Day_3
PR80.2_d03_rep7	PR80.2	Day_3

SHAM_d10_rep1	SHAM	Day_10
SHAM_d10_rep2	SHAM	Day_10
SHAM_d10_rep3	SHAM	Day_10
SHAM_d10_rep4	SHAM	Day_10
SHAM_d10_rep5	SHAM	Day_10
SHAM_d10_rep6	SHAM	Day_10
SHAM_d10_rep7	SHAM	Day_10

PR80.6_d10_rep1	PR80.6	Day_10
PR80.6_d10_rep2	PR80.6	Day_10
PR80.6_d10_rep3	PR80.6	Day_10
PR80.6_d10_rep4	PR80.6	Day_10
PR80.6_d10_rep5	PR80.6	Day_10
PR80.6_d10_rep6	PR80.6	Day_10
PR80.6_d10_rep7	PR80.6	Day_10

PR80.2_d10_rep1	PR80.2	Day_10
PR80.2_d10_rep2	PR80.2	Day_10
PR80.2_d10_rep3	PR80.2	Day_10
PR80.2_d10_rep4	PR80.2	Day_10
PR80.2_d10_rep5	PR80.2	Day_10
PR80.2_d10_rep6	PR80.2	Day_10
PR80.2_d10_rep7	PR80.2	Day_10

TX91_d10_rep1	TX91	Day_10	
TX91_d10_rep2	TX91	Day_10
TX91_d10_rep3	TX91	Day_10
TX91_d10_rep4	TX91	Day_10
TX91_d10_rep5	TX91	Day_10
TX91_d10_rep6	TX91	Day_10
TX91_d10_rep7	TX91	Day_10
