Gene	Entrez	ID_REF	SHAM_d01_rep1	SHAM_d01_rep2	SHAM_d01_rep3	SHAM_d01_rep4	SHAM_d01_rep5	SHAM_d01_rep6	SHAM_d01_rep7	PR80.6_d01_rep1	PR80.6_d01_rep2	PR80.6_d01_rep3	PR80.6_d01_rep4	PR80.6_d01_rep5	PR80.6_d01_rep6	PR80.6_d01_rep7	PR810_d01_rep1	PR810_d01_rep2	PR810_d01_rep3	PR810_d01_rep4	PR810_d01_rep5	PR810_d01_rep6	PR810_d01_rep7	PR8100_d01_rep1	PR8100_d01_rep2	PR8100_d01_rep3	PR8100_d01_rep4	PR8100_d01_rep5	PR8100_d01_rep6	PR8100_d01_rep7	TX91_d01_rep1	TX91_d01_rep2	TX91_d01_rep3	TX91_d01_rep4	TX91_d01_rep5	TX91_d01_rep6	TX91_d01_rep7	SHAM_d02_rep1	SHAM_d02_rep2	SHAM_d02_rep3	SHAM_d02_rep4	SHAM_d02_rep5	SHAM_d02_rep6	SHAM_d02_rep7	PR810_d02_rep1	PR810_d02_rep2	PR810_d02_rep3	PR810_d02_rep4	PR810_d02_rep5	PR810_d02_rep6	PR810_d02_rep7	PR8100_d02_rep1	PR8100_d02_rep2	PR8100_d02_rep3	PR8100_d02_rep4	PR8100_d02_rep5	PR8100_d02_rep6	PR8100_d02_rep7	TX91_d02_rep1	TX91_d02_rep2	TX91_d02_rep3	TX91_d02_rep4	TX91_d02_rep5	TX91_d02_rep6	TX91_d02_rep7	SHAM_d03_rep1	SHAM_d03_rep2	SHAM_d03_rep3	SHAM_d03_rep4	SHAM_d03_rep5	SHAM_d03_rep6	SHAM_d03_rep7	PR80.6_d03_rep1	PR80.6_d03_rep2	PR80.6_d03_rep3	PR80.6_d03_rep4	PR80.6_d03_rep5	PR80.6_d03_rep6	PR80.6_d03_rep7	PR810_d03_rep1	PR810_d03_rep2	PR810_d03_rep3	PR810_d03_rep4	PR810_d03_rep5	PR810_d03_rep6	PR810_d03_rep7	PR8100_d03_rep1	PR8100_d03_rep2	PR8100_d03_rep3	PR8100_d03_rep4	PR8100_d03_rep5	PR8100_d03_rep6	PR8100_d03_rep7	TX91_d03_rep1	TX91_d03_rep2	TX91_d03_rep3	TX91_d03_rep4	TX91_d03_rep5	TX91_d03_rep6	TX91_d03_rep7	PR80.2_d03_rep1	PR80.2_d03_rep2	PR80.2_d03_rep3	PR80.2_d03_rep4	PR80.2_d03_rep5	PR80.2_d03_rep6	PR80.2_d03_rep7	SHAM_d10_rep1	SHAM_d10_rep2	SHAM_d10_rep3	SHAM_d10_rep4	SHAM_d10_rep5	SHAM_d10_rep6	SHAM_d10_rep7	PR80.6_d10_rep1	PR80.6_d10_rep2	PR80.6_d10_rep3	PR80.6_d10_rep4	PR80.6_d10_rep5	PR80.6_d10_rep6	PR80.6_d10_rep7	PR80.2_d10_rep1	PR80.2_d10_rep2	PR80.2_d10_rep3	PR80.2_d10_rep4	PR80.2_d10_rep5	PR80.2_d10_rep6	PR80.2_d10_rep7	TX91_d10_rep1	TX91_d10_rep2	TX91_d10_rep3	TX91_d10_rep4	TX91_d10_rep5	TX91_d10_rep6	TX91_d10_rep7
Best1	24115	ILMN_1212602	0.14530516	0.1820612	0.29028893	-0.15046692	-0.22112322	-0.19155645	0.40653372	0.17946053	-0.039584637	-0.088163376	-0.32716036	-0.0978508	-0.026492596	-0.09137344	0.0691309	-0.023591518	-0.04335594	-0.12277889	-0.020835876	0.002324104	-0.12822485	0.09711218	0.39464903	6.04E-04	-0.060346603	0.06462097	0.17030334	-0.08007622	0.14620352	0.14423847	-0.08546877	-6.04E-04	0.044968605	-0.1609211	-0.024091244	-0.1963625	0.052307606	-0.26526308	0.09627104	-0.19238186	-0.21020222	0.003418922	0.23224354	0.3101473	0.34039402	0.37290812	0.51296854	0.43706608	0.38442993	0.5345826	0.32605267	0.36528063	0.33545923	0.64158964	0.47229433	0.53848934	-0.024629116	0.14076376	0.14995003	-0.019804478	0.01326561	-0.00271225	-0.08511543	-0.09187794	-0.0616374	0.007260323	-0.055422306	0.026031494	-0.10230398	-0.014288902	0.20590258	0.35183	-0.02957344	-0.12503767	0.23162365	0.42050934	0.0686903	0.32151508	0.2107029	0.42636395	0.095119	0.40828037	0.20794964	0.29012108	0.30741978	0.40323448	0.45864058	0.4236002	0.4428172	0.2995038	0.29626942	-0.102060795	-0.015640259	0.0979476	-0.1792798	-0.0685873	0.066957	-0.29972887	0.09471464	-0.07398844	0.16149044	0.06616402	-0.032423496	-0.03618622	-0.08485222	0.032138824	-0.08173847	-0.14580059	0.055868626	0.07987738	-0.211442	-0.09379673	0.005678654	-0.021355152	-0.1760788	-0.18967247	-0.24951458	-0.156394	-0.13354826	0.08821964	-0.07639265	0.022614956	-0.13011026	-0.099951744	-0.16226006	-0.0880456	0.01620102	-0.09379673	-0.028769016	-0.23445368	-0.044692516	-0.120518684	0.04679346
LOC382513		ILMN_1212603	0.033378124	-0.15449953	0.03850603	0.6062217	0.061765194	-0.108232975	-0.11552048	0.1323843	-0.37058544	0.1585865	0.49953365	-0.17992163	-0.03122902	0.27913094	0.233809	-0.16661978	0.18919945	0.38782644	0.11773062	-0.23832369	-0.10775471	-0.011010647	-0.14542341	0.093884945	0.482172	0.030444622	0.005759716	0.118516445	0.07228947	-0.1004715	0.16591787	0.33384228	-0.043785095	-0.118047714	0.07358742	-0.19304132	0.061656	0.020596504	0.13955641	0.006914616	-0.109404564	-0.025696278	-0.07460308	-0.021688461	-0.08131075	-0.2480526	-0.3221588	-0.292233	-0.16387558	-0.31664467	-0.048171997	-0.24918842	-0.01248312	-0.040835857	0.086569786	-0.06487417	-0.06736469	-0.04224491	-0.08564901	0.091249466	-0.23087549	-0.052617073	-0.056523323	0.098193645	0.24962091	-0.00359869	-0.023524284	0.16695642	0.18078709	0.09464598	0.3265953	-0.10808754	0.05284691	0.06362152	3.40E-04	0.001775265	-0.13983917	0.2331338	0.43713093	-0.001029491	-0.001197815	0.20913267	0.3030901	0.058848858	-0.009584904	0.1632061	0.007140636	0.0541749	-0.13476658	-0.10132837	-0.33289623	0.25841808	0.17541218	-0.06999445	0.041356564	0.07370567	0.22424507	-0.039129734	0.1505723	0.76173306	0.013371468	0.1595316	0.175807	0.04301548	0.036367416	0.003661633	0.69097614	-0.007676601	0.27607393	-0.0743494	0.09501457	0.01451683	-0.1632533	-0.16106701	-0.039108753	0.06043768	0.094554424	-0.030224323	-0.089978695	0.076498985	0.6647258	-0.07738161	-0.05701208	0.060673237	-0.121319294	-0.13525963	0.032769203	0.54011965	-0.2062378	0.14537287	-0.018161297	0.020120144	-0.04525709
1500011K16Rik	67885	ILMN_1212605	0.04493904	-0.0647583	-0.08243275	-0.23158455	0.07198429	-0.012078285	-0.03441429	-0.2342987	-0.17584324	-0.15702915	-0.14053726	0.14569378	0.08155918	-0.31895828	-0.20012474	-0.1408062	-0.16907501	-0.03634453	0.058660507	0.025267601	2.78E-04	-0.19457817	-0.35983276	-0.20841408	-0.26724052	0.06714916	-0.040427208	-0.27975273	-0.30417728	0.007029533	-0.10599613	-0.22073555	0.023072243	-0.24288845	-0.20510006	0.8444519	0.036712646	0.8862057	-0.055583954	0.97916794	1.1544771	-0.08831024	0.43995857	-0.34431076	0.32970428	0.23639774	0.5604334	0.7183151	0.33430195	0.4961443	0.058389664	0.9372864	0.22180367	1.2632275	0.9103508	0.4289322	0.32126904	-0.18432045	1.0379391	0.112698555	0.7858391	0.8600426	0.59297657	-0.019065857	0.16326618	-0.02714634	-0.022333145	0.29596996	0.12587929	0.3206854	-0.14799404	0.35521412	0.010000229	-0.07097721	0.124723434	0.29979324	0.2751932	-0.49986267	-0.23508263	-0.06424713	-0.12587833	-0.04841137	-0.12005901	-0.10143471	0.29530716	0.48477745	-0.16828632	-0.29127312	0.2737131	0.8473005	0.68279266	-0.22233486	0.081293106	0.054416656	0.01970768	-0.12429619	0.15626621	-0.046014786	-0.38425446	-0.16130733	-0.11811733	-0.118956566	-0.32690716	-0.09153938	-0.055583954	0.15115166	0.25282383	-2.78E-04	0.3785076	0.12826443	0.084508896	0.055270195	-0.40447235	0.14390469	-0.03196335	-0.15676498	-0.24524403	-0.2692995	0.1337347	-0.32616615	-0.1572771	0.065686226	-0.18510342	-0.29406738	-0.1368475	-0.08189201	-0.40058327	0.010846138	-0.08644867	-0.10301781	-0.16697502	-0.13400841	-0.007993698
Cradd	12905	ILMN_1212607	-0.106556416	0.055232525	0.09587431	-0.14480639	-0.048626423	0.16996622	0.014784336	-0.15119696	-0.03789091	-0.13271904	0.036324978	0.22438669	0.15991354	0.07250881	-0.21021509	-0.38665962	-4.69E-04	-0.049425125	0.053203583	0.097155094	0.03400135	-0.085422516	-0.21690655	0.1578536	-0.11313677	0.090118885	-0.054361343	-0.092195034	-0.12398195	-0.04815674	-0.05538559	-0.030146599	0.048752308	0.109240055	-0.054572582	0.019051552	0.7252903	0.07623577	0.2642126	-0.18865347	-0.03469038	0.10360241	-0.098766804	0.24617338	-0.14845085	0.07572842	-0.29633188	0.033528328	-0.114602566	0.0287261	0.27045584	0.26870203	0.088069916	-0.07090616	-0.020804882	0.16438913	-0.10898447	0.21567154	-0.16154289	0.50002	-0.07353401	-0.007611752	0.32955265	-0.21690655	-0.07826948	-0.10137987	0.074650764	0.103466034	0.20024204	0.018209934	-0.07512617	-0.13187742	0.009289265	0.079669	-0.0399518	0.041180134	-0.040740013	-0.13434935	-0.29272032	0.11354351	0.012736321	-0.19879913	-0.038447857	0.3108425	-0.24372768	-0.092514515	-0.280097	0.014314175	0.054592133	0.030387402	0.051835537	-0.021036148	-0.070602894	-0.14664888	-0.03641367	0.003416061	0.26118565	0.05572605	0.008817196	-0.011879921	-0.053431988	0.18477488	-0.013927937	0.10059929	0.1385212	0.04414749	-0.019306183	0.052969456	0.051835537	0.003079891	0.17789555	0.17377281	-0.24829292	-0.23964357	-0.080537796	-0.09511709	-0.12124014	0.16478634	-0.06998682	0.06226492	-0.005208492	-0.14974117	-0.024551868	-0.18179083	-0.113930225	0.12970018	4.69E-04	-0.13494968	0.13025618	-0.059202194	-0.05738926	0.15356493	0.059696198
Rcan2	53901	ILMN_1212612	0.08316898	-0.1557455	-0.17122269	0.6029949	0.4685068	0.2566824	0.37245274	-0.32549858	0.03717041	0.07066059	0.19187546	0.23692131	0.4171381	0.42322636	-0.038357735	-0.15146351	0.037932396	0.026460648	0.25827408	0.20288754	0.4481907	0.004080772	0.2489357	0.03664875	0.11699104	0.35884	0.38706112	0.4350958	-0.07179165	0.22345448	0.34317017	0.1481142	0.3264494	0.2796402	0.4511652	0.4916544	0.18500614	0.5382929	-0.3904152	0.5116749	0.4667139	-0.07737064	0.023485184	-0.3439026	-0.08062363	-0.8602457	-0.104665756	-0.08962631	-0.5151782	-0.91742563	-0.86351585	-0.5631256	-1.4133816	-0.9582348	-0.887465	-1.1403041	0.3255949	-0.32644176	0.24514389	-0.25803185	0.35992622	0.22611332	-0.6055765	0.27072906	0.36933136	0.41947365	0.2423315	0.33897018	0.16851044	0.20509529	0.09198761	-0.33585835	0.17247963	0.08232975	-0.28098965	-0.6848049	-0.20439911	-0.8156748	-1.2111821	-0.51390266	-1.3087487	-1.1927447	-1.383985	-1.0336685	-0.96299505	-1.1246238	-1.1235294	-1.167522	-1.156281	-1.2376065	-1.3662052	-0.08131027	-0.20464134	-0.3122921	-0.01889801	-0.039385796	-0.33284855	-0.8774395	-0.13838291	-0.20174408	-0.059470177	-0.048945427	-0.03145218	-0.06003666	-0.053329468	0.31846428	0.32840252	0.24100018	0.61651134	0.4157219	0.39643097	0.42645454	-0.44583797	-0.63283634	-0.5526247	-0.12700081	-0.5677972	-0.5136914	0.003539085	-0.21527576	-0.06003666	-0.11966133	-0.2891655	-0.1881876	-0.22555351	-0.3191557	-0.06952381	-0.003539085	0.2212925	-0.007540703	0.183362	0.12484455	-0.24081421
scl0002023.1_27		ILMN_1212614	-0.052297115	-0.0973897	-0.18822575	-0.07838392	-0.049407005	-0.05054474	0.01715231	-0.21119213	0.0865922	0.08380175	-0.079752445	0.021743298	-0.04777813	0.04544878	-0.09921932	0.09411383	-0.13220644	-0.02569437	0.040595055	-0.13354254	0.009093761	-0.050395966	-0.10984373	-0.19302177	-0.11850214	-0.0391016	-0.046782494	0.049964905	-0.004143715	-0.11674404	-0.018948555	0.002675057	0.052919388	0.029910564	-0.018446922	-0.08625507	0.01682949	0.1471839	0.16598988	-0.15024519	0.018147469	0.12952662	0.047696114	-0.049943447	0.16425371	0.3445716	-0.008046627	-0.15683031	0.10844183	0.034095764	0.26673698	0.006333828	0.09072685	-0.118849754	0.059571743	0.11008453	-0.112650394	-0.05511856	0.106051445	0.18604326	-0.012865543	0.068912506	0.109035015	0.16728592	8.44E-04	-0.010769844	-0.075650215	0.040263176	-0.08379507	-0.16635513	0.005105496	-0.047612667	-0.022722721	-0.11015892	-0.011435509	-0.04032278	0.06458187	-0.129385	-0.13187551	-0.049120426	-0.11000395	-0.111887455	0.09079933	0.068097115	-0.03688717	0.06513882	-0.007412911	-0.03318739	0.020208836	-0.14665127	0.066058636	-0.010610104	-0.11625433	-0.10410261	-0.046655655	0.11675358	-0.066031456	0.010886192	-0.09093046	-0.06673336	0.035249233	0.059280872	-0.102846146	-0.045218945	0.010901451	-0.100539684	-0.0551939	-0.02855444	-0.094587326	0.15224075	-0.03820944	0.03262806	-0.057810783	0.003977776	-0.17510557	-0.047313213	-0.0442605	-0.035023212	0.008591175	-0.10081196	0.004806519	7.58E-04	0.040845394	0.05702257	-0.044854164	0.05237627	-0.18841791	0.116951466	0.017512798	0.029382706	0.01700306	0.035891533	-0.06492376
Mfap3l	71306	ILMN_1212619	0.035285473	0.030703068	-0.17560768	0.001698494	-0.013358116	0.10637903	-0.14161634	-0.05175829	0.052485943	0.17184925	0.014745235	0.10539818	-0.08032036	0.14393187	0.06989622	0.055713654	-0.010718823	-0.03108406	0.013754845	0.17226267	-0.06950569	-0.18616247	-0.008465767	-0.09325409	-0.20564842	-0.03368759	-0.03830242	0.019994736	-0.07423353	0.36259794	-0.007464409	-0.06382513	0.033829212	0.13869143	-0.014523506	0.14961243	0.14767933	0.259902	0.23285437	0.394732	0.26889372	0.052194595	-0.11425972	-0.119514465	0.0735383	0.05174017	-0.13158178	-0.194633	-0.009939671	-0.10085297	-0.12300587	0.15898466	-0.16789436	0.14638186	-0.10762215	0.03274107	-0.06870651	0.24662924	0.27048826	0.052997112	-0.110990524	-0.05692625	0.27007532	0.16988707	0.17584038	-0.028869629	0.022857666	0.05071926	0.113426685	0.10504913	0.12989235	0.07397175	0.001698494	0.056919098	0.066429615	0.10354996	0.5219717	-0.14845228	-0.3274579	-0.22381592	-0.2630973	-0.31068993	-0.002557755	0.063298225	-0.1475215	-0.13782835	-0.2172947	-0.28021383	-0.36025286	0.024442196	0.1570797	-0.10822725	0.06288195	-0.03866577	-0.1418457	0.12093067	-0.04840231	0.43815565	-0.10718441	-0.11608553	-0.19289732	-0.079882145	-0.023317814	-0.08240795	-0.033533096	0.13155651	0.08133268	0.070046425	-0.11822033	0.25046587	0.09743309	-0.020256042	-0.02017641	-0.09472704	-0.20722818	-0.08015919	-0.11206722	-0.076069355	-0.1004796	0.06657982	-0.099524975	0.001645088	0.014935494	0.07253504	-0.05975485	-0.21171284	-0.025866985	0.052657604	0.07135391	0.03487587	-0.04896021	0.116354465	0.057775497
LOC380654		ILMN_1212623	0.08475828	0.17123365	0.19715738	-0.019786835	0.004387856	0.007872582	-0.12790203	0.120156765	0.10850859	0.039406776	-0.03174162	-0.10482454	-0.07775736	-0.06314325	0.15354776	0.07243395	0.059716225	0.029349804	-0.1840477	0.08953476	-0.12098265	0.18603659	0.20941162	0.19679976	0.09971619	-0.04869318	-0.11837816	0.015381813	-0.01335907	0.15136719	-0.09327316	0.036837578	0.08900547	0.024745464	-0.11546326	0.007666111	0.09299564	-0.08952618	-0.041613102	0.058497906	-0.02526331	-0.11776638	-0.10721731	-0.004217625	-0.08777809	-0.008858681	-0.03606224	-0.13632965	-0.10122013	0.05496645	0.003210068	-0.04032898	-0.03450966	-0.10356188	0.03297472	-0.03164339	0.098332405	-9.86E-04	-0.154984	0.016191483	9.86E-04	0.03590107	0.062492847	0.044905663	0.030226707	-0.048542976	-0.026501179	0.10175419	0.11348581	0.002223969	0.107886314	0.031863213	-0.09852648	-0.026073933	0.15192842	0.040706635	0.1506648	-0.10624552	0.03678322	0.007157803	-0.018925667	0.053970814	0.09708214	0.041392803	0.10068655	-0.006330013	0.021805286	0.06401205	0.21184874	0.0400877	0.04013872	0.092659	-0.027434826	-0.043003082	-0.060094357	0.03917837	0.099442005	0.11723852	-0.004034996	-0.05129242	0.022088528	0.013679028	0.024635792	-0.001734734	-0.03009224	-0.050344467	-0.01271534	0.02056694	-0.008858681	-0.09410381	-0.041717052	-0.04818535	-0.007192612	-0.001948357	0.054683685	-0.030675411	-0.06880665	-0.010929585	0.049732685	0.07311535	-0.050948143	-0.08188629	0.021337986	-0.101876736	-0.13957691	-0.02599287	-0.054570675	-0.09430075	-0.0856719	-0.046399117	0.030069828	-0.13879871	0.067792416
Parl	381038	ILMN_1212625	-0.3939705	-0.2771349	-0.10133934	-0.26072454	-0.16864252	-0.24971151	-0.10133934	-0.5245619	-0.30856943	-0.03806877	-0.2504015	-0.08096933	0.007688522	-0.46872234	-0.39861584	-0.53602505	-0.20030737	-0.29696083	-0.11515713	0.051860332	-0.23212862	-0.39727163	-0.58380175	-0.1731863	-0.38196754	-0.08360767	0.15256691	-0.28944397	-0.40951824	-0.43120193	-0.30889463	-0.31853008	-0.1724534	-0.28779888	-0.37959433	0.81514215	-0.15065336	0.5764909	-0.020798683	0.5202422	0.6740489	0.16076899	0.8709378	0.011295795	0.9489713	0.21791029	0.8195462	0.84504366	0.14121342	1.1109805	0.010099888	0.9702611	0.47705126	1.0068898	0.75162077	0.63838243	0.8541589	-0.12313652	0.6789956	0.14081049	0.7153125	0.8567271	0.15671921	-0.3316388	-0.23939371	0.12775993	0.10542917	-0.348835	0.060029507	0.21830797	-0.3378229	-0.20247126	0.061507702	-0.14077759	-0.40136814	-0.008507729	0.42623854	-0.26390314	0.15964985	0.711308	0.26408863	-0.2073822	0.38168478	0.4534583	0.23317432	0.44134188	0.674314	0.5207133	0.033463955	0.86069155	0.95657873	-0.26460743	-0.3038988	-0.082983494	-0.054908276	-0.09773445	-0.027955055	0.21684933	-0.45871878	-0.43604803	-0.044352055	-0.017597675	-0.27588987	0.04715681	0.0792079	-0.42535448	-0.2642331	-0.09194183	0.18038225	-0.12077856	-0.2306509	0.08747101	-0.3415203	-0.22953892	0.008286953	0.13934994	-0.064267635	0.1855073	0.12867069	-0.56072855	-0.4796214	-0.025064945	-0.16300392	-0.33945656	-0.018962383	-0.007688522	-0.43087292	-0.39136314	-0.30823088	0.023273468	-0.18214989	-0.09022236	-0.032869816
EG665509	665509	ILMN_1212626	-1.7558308	-1.3941765	-0.7643604	-1.363018	-0.16372585	-0.1849966	-0.8963232	-1.8467112	-1.7716808	-1.3577919	-1.3359795	-0.15568733	-0.09596157	-1.4124794	-1.8550797	-1.9108753	-1.2928791	-1.4741468	0.021730423	-0.18106174	-0.9939308	-1.7028866	-1.7065325	-1.354722	-1.6259975	-0.04480076	-0.067053795	-1.2362537	-1.86656	-1.7953548	-1.5011587	-1.6816273	-0.20378304	-0.22716618	-1.4423218	0.1195364	-0.1673975	0.7161989	-0.23178196	0.63312626	0.5155201	-0.14296341	0.87253	0.2078371	0.8013067	0.008372307	0.7488737	1.1742964	0.22724533	0.5467415	0.16610718	0.39117432	0.26689816	0.5941496	0.4505453	0.22182369	0.39117432	-0.16664791	0.7726822	-0.11949444	0.5928278	0.5941496	0.21919155	-1.4043932	-1.3323431	-7.13E-04	-0.27378273	-1.7256136	-0.22916985	0.329072	-1.3069849	-1.1707554	-0.049586296	-0.16105556	-1.5987749	0.24796677	-0.01716137	-1.235858	-0.9140825	0.3450451	0.25096607	-1.4124794	0.17695427	0.43205643	-1.037323	-0.75179386	0.33309364	0.46049976	-1.2526159	0.39223766	0.24999142	-1.3763905	-1.1228762	0.1711092	0.11305237	-1.4955606	0.27532005	0.29082298	-1.7319155	-1.2965212	-0.08610153	-0.003950119	-1.4010077	-0.04571724	0.08373737	-1.5788889	-1.3339729	-0.08334541	0.30765438	-1.3677139	0.08638954	0.03608799	-1.3798227	0.22182369	0.16521358	0.27904987	-0.9920988	0.48002625	0.54109955	-1.4657717	-1.1193724	0.34106922	0.25645828	-1.0581188	0.48889732	0.24602413	-1.3727474	-1.1837835	0.22092819	0.26689816	-1.0714865	0.17441654	0.3311062
