geneID	symbol	Pre-infection_1	Pre-infection_2	Pre-infection_3	Pre-infection_4	Post-infection_1	Post-infection_2	Post-infection_3	Post-infection_4
13168	Dbil5	41.6621	47.1045	42.4063	35.8586	41.2547	70.2506	56.3325	59.8563
215494	C85492	4560.6646	4775.8804	4556.458	4857.51	2610.2302	3799.1184	3269.4136	3296.5535
12776	Ccr8	10.2787	13.6023	7.9614	7.6009	29.7242	15.2363	14.8222	22.031
11441	Chrna7	10.8183	8.553	9.4954	7.4509	34.6881	71.21	46.9025	71.5359
26572	Cops3	2103.6042	1947.4531	1959.794	1787.7572	2103.3694	2941.017	2712.2195	2813.0864
72454	Ccdc71	481.0429	509.3457	473.0882	404.2453	373.8948	422.5381	451.2229	454.9671
192663	Abcg4	247.5	201.6397	270.0184	199.0695	376.8312	363.7945	443.3327	374.7599
80385	Tusc2	1853.8466	1943.0709	1691.0833	1731.436	1797.4039	2204.4995	2130.6985	2338.9968
107770	Tm6sf2	763.8101	559.374	565.4611	566.1934	1020.3411	1014.5329	1086.7498	1116.3102
50928	Klrg1	203.9279	315.2828	276.3973	304.325	329.8252	332.1459	341.7661	386.8672
21926	Tnf	90.3923	46.0369	154.7211	116.5707	772.0254	337.4786	636.7633	409.3174
18472	Pafah1b1	9350.096	9881.011	8477.792	8009.979	6311.0854	8819.397	8606.05	8048.1875
56372	1110004F10Rik	5207.384	4941.5474	4825.1772	4660.564	4826.396	5926.6924	5737.502	5534.0254
114666	Krtap5-5	32.0297	28.3508	25.3025	5.6318	29.6035	26.5081	39.3147	32.1504
77032	2610029I01Rik	1251.0852	1024.959	1053.3566	1070.8735	1495.9502	1840.2815	1587.357	1656.6123
100041487	Gm3366	97.4319	129.9281	95.9422	73.8031	143.1063	103.6543	144.8117	115.2284
12177	Bnip3l	9550.358	10213.897	8856.788	7085.4263	5370.5635	7494.6084	6231.1953	8026.585
69816	2010001M09Rik	310.3401	489.7056	650.9243	581.348	4756.0576	1174.9365	2567.3616	5965.416
18129	Notch2	6472.3174	6819.998	6545.3267	6164.542	6110.699	5579.057	6503.7114	6375.589
15257	Hipk1	353.0356	390.5882	358.1805	267.8249	267.0718	296.7139	298.5509	289.3081
